nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-074525
iter 00001 | success 0.016 | policy_loss 0.01460 | value_loss 9177.16162 | Vmean -0.017 | Rmean 61.530 | Vrmse 135.566 | VexpVar -0.000 | adv_std 120.790 | elapsed 29.79s
iter 00016 | success 0.063 | policy_loss -0.00005 | value_loss 6532.24582 | Vmean 2.933 | Rmean 31.617 | Vrmse 114.368 | VexpVar 0.040 | adv_std 110.713 | elapsed 30.90s
iter 00017 | success 0.069 | policy_loss -0.00007 | value_loss 6387.91779 | Vmean 2.727 | Rmean 29.622 | Vrmse 113.097 | VexpVar 0.050 | adv_std 109.853 | elapsed 28.50s
iter 00018 | success 0.078 | policy_loss -0.00008 | value_loss 6295.64722 | Vmean 2.409 | Rmean 27.210 | Vrmse 112.272 | VexpVar 0.058 | adv_std 109.498 | elapsed 33.16s
iter 00019 | success 0.083 | policy_loss -0.00010 | value_loss 6747.07858 | Vmean 1.963 | Rmean 27.267 | Vrmse 116.232 | VexpVar 0.069 | adv_std 113.444 | elapsed 29.30s
iter 00020 | success 0.088 | policy_loss -0.00005 | value_loss 6434.06033 | Vmean 1.814 | Rmean 24.822 | Vrmse 113.494 | VexpVar 0.077 | adv_std 111.137 | elapsed 30.23s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_20.pt
iter 00021 | success 0.090 | policy_loss -0.00002 | value_loss 6663.55115 | Vmean 1.841 | Rmean 25.467 | Vrmse 115.510 | VexpVar 0.081 | adv_std 113.068 | elapsed 38.90s
iter 00022 | success 0.091 | policy_loss -0.00006 | value_loss 6310.98389 | Vmean 1.863 | Rmean 22.045 | Vrmse 112.409 | VexpVar 0.087 | adv_std 110.583 | elapsed 32.64s
iter 00023 | success 0.098 | policy_loss -0.00009 | value_loss 6650.42834 | Vmean 1.851 | Rmean 22.619 | Vrmse 115.405 | VexpVar 0.090 | adv_std 113.521 | elapsed 29.70s
iter 00024 | success 0.117 | policy_loss 0.00024 | value_loss 6575.33240 | Vmean 1.701 | Rmean 18.212 | Vrmse 114.738 | VexpVar 0.101 | adv_std 113.544 | elapsed 29.19s
iter 00025 | success 0.111 | policy_loss -0.00004 | value_loss 6374.23160 | Vmean 1.859 | Rmean 17.934 | Vrmse 112.977 | VexpVar 0.106 | adv_std 111.828 | elapsed 32.24s
iter 00026 | success 0.112 | policy_loss -0.00006 | value_loss 6679.31384 | Vmean 1.964 | Rmean 20.145 | Vrmse 115.651 | VexpVar 0.107 | adv_std 114.213 | elapsed 34.06s
iter 00027 | success 0.128 | policy_loss -0.00006 | value_loss 6546.18475 | Vmean 1.016 | Rmean 16.367 | Vrmse 114.494 | VexpVar 0.134 | adv_std 113.460 | elapsed 34.24s
iter 00028 | success 0.128 | policy_loss -0.00006 | value_loss 6424.63538 | Vmean 0.500 | Rmean 13.287 | Vrmse 113.425 | VexpVar 0.149 | adv_std 112.702 | elapsed 34.56s
iter 00029 | success 0.131 | policy_loss -0.00010 | value_loss 6447.82135 | Vmean 0.987 | Rmean 14.430 | Vrmse 113.634 | VexpVar 0.149 | adv_std 112.836 | elapsed 34.34s
iter 00030 | success 0.140 | policy_loss -0.00010 | value_loss 6662.35153 | Vmean 0.421 | Rmean 10.909 | Vrmse 115.492 | VexpVar 0.162 | adv_std 115.015 | elapsed 34.40s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_30.pt
iter 00031 | success 0.149 | policy_loss 0.00003 | value_loss 6701.95193 | Vmean 0.017 | Rmean 11.261 | Vrmse 115.847 | VexpVar 0.166 | adv_std 115.300 | elapsed 38.77s
iter 00032 | success 0.158 | policy_loss -0.00003 | value_loss 6590.80649 | Vmean -0.401 | Rmean 8.947 | Vrmse 114.853 | VexpVar 0.181 | adv_std 114.472 | elapsed 34.42s
iter 00033 | success 0.153 | policy_loss -0.00003 | value_loss 6578.51422 | Vmean -0.402 | Rmean 10.635 | Vrmse 114.763 | VexpVar 0.193 | adv_std 114.231 | elapsed 34.19s
iter 00034 | success 0.171 | policy_loss -0.00015 | value_loss 6592.55023 | Vmean -0.606 | Rmean 6.810 | Vrmse 114.899 | VexpVar 0.206 | adv_std 114.659 | elapsed 33.99s
iter 00035 | success 0.175 | policy_loss -0.00010 | value_loss 6575.69046 | Vmean -0.820 | Rmean 5.545 | Vrmse 114.752 | VexpVar 0.214 | adv_std 114.575 | elapsed 33.85s
iter 00036 | success 0.186 | policy_loss -0.00007 | value_loss 6629.75299 | Vmean -1.850 | Rmean 2.327 | Vrmse 115.214 | VexpVar 0.231 | adv_std 115.139 | elapsed 33.51s
iter 00037 | success 0.212 | policy_loss -0.00011 | value_loss 6661.72797 | Vmean -3.162 | Rmean -3.008 | Vrmse 115.487 | VexpVar 0.257 | adv_std 115.487 | elapsed 33.88s
iter 00038 | success 0.214 | policy_loss -0.00004 | value_loss 6798.55496 | Vmean -3.455 | Rmean -3.348 | Vrmse 116.676 | VexpVar 0.271 | adv_std 116.676 | elapsed 31.79s
iter 00039 | success 0.222 | policy_loss -0.00009 | value_loss 6872.30078 | Vmean -3.837 | Rmean -5.592 | Vrmse 117.303 | VexpVar 0.278 | adv_std 117.290 | elapsed 32.44s
iter 00040 | success 0.241 | policy_loss -0.00010 | value_loss 6927.58701 | Vmean -5.656 | Rmean -12.375 | Vrmse 117.788 | VexpVar 0.305 | adv_std 117.596 | elapsed 32.17s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_40.pt
iter 00041 | success 0.256 | policy_loss -0.00019 | value_loss 6966.10995 | Vmean -6.583 | Rmean -13.705 | Vrmse 118.116 | VexpVar 0.317 | adv_std 117.901 | elapsed 35.68s
iter 00042 | success 0.268 | policy_loss -0.00007 | value_loss 7167.26703 | Vmean -8.994 | Rmean -19.051 | Vrmse 119.808 | VexpVar 0.342 | adv_std 119.386 | elapsed 34.17s
iter 00043 | success 0.284 | policy_loss -0.00006 | value_loss 6914.36414 | Vmean -10.173 | Rmean -23.431 | Vrmse 117.678 | VexpVar 0.366 | adv_std 116.928 | elapsed 32.66s
iter 00044 | success 0.302 | policy_loss -0.00009 | value_loss 6966.00381 | Vmean -12.409 | Rmean -29.412 | Vrmse 118.108 | VexpVar 0.386 | adv_std 116.878 | elapsed 33.70s
iter 00045 | success 0.316 | policy_loss -0.00011 | value_loss 7266.64285 | Vmean -14.650 | Rmean -33.291 | Vrmse 120.642 | VexpVar 0.402 | adv_std 119.193 | elapsed 34.04s
iter 00046 | success 0.337 | policy_loss -0.00008 | value_loss 7202.14407 | Vmean -17.062 | Rmean -39.362 | Vrmse 120.107 | VexpVar 0.429 | adv_std 118.019 | elapsed 33.27s
iter 00047 | success 0.356 | policy_loss -0.00014 | value_loss 7321.77591 | Vmean -20.184 | Rmean -45.832 | Vrmse 121.052 | VexpVar 0.448 | adv_std 118.304 | elapsed 33.65s
iter 00048 | success 0.370 | policy_loss -0.00018 | value_loss 7145.21060 | Vmean -24.449 | Rmean -52.334 | Vrmse 119.621 | VexpVar 0.486 | adv_std 116.325 | elapsed 34.27s
iter 00049 | success 0.408 | policy_loss -0.00008 | value_loss 7312.31723 | Vmean -28.367 | Rmean -61.677 | Vrmse 121.035 | VexpVar 0.503 | adv_std 116.361 | elapsed 34.12s
iter 00050 | success 0.396 | policy_loss -0.00012 | value_loss 7460.84595 | Vmean -28.638 | Rmean -60.925 | Vrmse 122.239 | VexpVar 0.502 | adv_std 117.898 | elapsed 34.30s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_50.pt
iter 00051 | success 0.422 | policy_loss -0.00008 | value_loss 7559.13901 | Vmean -30.933 | Rmean -66.903 | Vrmse 123.038 | VexpVar 0.511 | adv_std 117.663 | elapsed 34.40s
iter 00052 | success 0.435 | policy_loss -0.00010 | value_loss 7337.51639 | Vmean -35.508 | Rmean -75.361 | Vrmse 121.223 | VexpVar 0.538 | adv_std 114.485 | elapsed 30.13s
iter 00053 | success 0.452 | policy_loss -0.00015 | value_loss 7235.61554 | Vmean -38.953 | Rmean -78.889 | Vrmse 120.378 | VexpVar 0.553 | adv_std 113.561 | elapsed 28.66s
iter 00054 | success 0.454 | policy_loss -0.00006 | value_loss 7445.77820 | Vmean -42.828 | Rmean -85.185 | Vrmse 122.101 | VexpVar 0.560 | adv_std 114.519 | elapsed 26.67s
iter 00055 | success 0.453 | policy_loss -0.00017 | value_loss 6920.23740 | Vmean -47.675 | Rmean -89.020 | Vrmse 117.744 | VexpVar 0.592 | adv_std 110.246 | elapsed 28.88s
iter 00056 | success 0.460 | policy_loss -0.00004 | value_loss 6866.43396 | Vmean -48.378 | Rmean -87.931 | Vrmse 117.233 | VexpVar 0.597 | adv_std 110.359 | elapsed 28.16s
iter 00057 | success 0.452 | policy_loss -0.00012 | value_loss 6404.97183 | Vmean -51.895 | Rmean -86.743 | Vrmse 113.171 | VexpVar 0.619 | adv_std 107.672 | elapsed 30.30s
iter 00058 | success 0.461 | policy_loss -0.00009 | value_loss 5904.11194 | Vmean -58.485 | Rmean -93.067 | Vrmse 108.626 | VexpVar 0.652 | adv_std 102.974 | elapsed 28.92s
iter 00059 | success 0.471 | policy_loss -0.00006 | value_loss 5319.31516 | Vmean -68.223 | Rmean -100.443 | Vrmse 103.134 | VexpVar 0.690 | adv_std 97.972 | elapsed 29.77s
iter 00060 | success 0.478 | policy_loss -0.00007 | value_loss 5247.21091 | Vmean -72.114 | Rmean -104.161 | Vrmse 102.499 | VexpVar 0.698 | adv_std 97.360 | elapsed 30.82s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_60.pt
iter 00061 | success 0.498 | policy_loss -0.00019 | value_loss 5020.27878 | Vmean -78.200 | Rmean -110.036 | Vrmse 100.287 | VexpVar 0.713 | adv_std 95.100 | elapsed 33.36s
iter 00062 | success 0.491 | policy_loss -0.00005 | value_loss 4908.76093 | Vmean -81.495 | Rmean -113.549 | Vrmse 99.137 | VexpVar 0.721 | adv_std 93.812 | elapsed 32.11s
iter 00063 | success 0.484 | policy_loss -0.00005 | value_loss 4792.47385 | Vmean -79.831 | Rmean -111.154 | Vrmse 97.973 | VexpVar 0.726 | adv_std 92.831 | elapsed 30.96s
iter 00064 | success 0.493 | policy_loss -0.00008 | value_loss 4840.70184 | Vmean -83.106 | Rmean -113.032 | Vrmse 98.439 | VexpVar 0.727 | adv_std 93.780 | elapsed 28.67s
iter 00065 | success 0.506 | policy_loss -0.00010 | value_loss 4612.93597 | Vmean -86.449 | Rmean -117.951 | Vrmse 96.120 | VexpVar 0.741 | adv_std 90.811 | elapsed 28.41s
iter 00066 | success 0.514 | policy_loss -0.00005 | value_loss 4530.69003 | Vmean -91.759 | Rmean -123.937 | Vrmse 95.251 | VexpVar 0.747 | adv_std 89.651 | elapsed 28.98s
iter 00067 | success 0.503 | policy_loss -0.00006 | value_loss 4263.69592 | Vmean -90.866 | Rmean -119.064 | Vrmse 92.325 | VexpVar 0.758 | adv_std 87.913 | elapsed 28.29s
iter 00068 | success 0.496 | policy_loss -0.00007 | value_loss 4030.54135 | Vmean -98.971 | Rmean -123.121 | Vrmse 89.742 | VexpVar 0.768 | adv_std 86.431 | elapsed 28.32s
iter 00069 | success 0.506 | policy_loss -0.00007 | value_loss 3698.65019 | Vmean -106.609 | Rmean -126.306 | Vrmse 85.926 | VexpVar 0.783 | adv_std 83.638 | elapsed 28.39s
iter 00070 | success 0.495 | policy_loss -0.00004 | value_loss 3586.02283 | Vmean -110.013 | Rmean -128.847 | Vrmse 84.563 | VexpVar 0.788 | adv_std 82.439 | elapsed 29.85s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_70.pt
iter 00071 | success 0.504 | policy_loss -0.00005 | value_loss 3615.88405 | Vmean -107.599 | Rmean -126.467 | Vrmse 85.064 | VexpVar 0.786 | adv_std 82.945 | elapsed 33.26s
iter 00072 | success 0.509 | policy_loss -0.00006 | value_loss 3600.49059 | Vmean -110.570 | Rmean -128.987 | Vrmse 84.842 | VexpVar 0.787 | adv_std 82.819 | elapsed 28.14s
iter 00073 | success 0.498 | policy_loss -0.00012 | value_loss 3560.17319 | Vmean -112.564 | Rmean -128.957 | Vrmse 84.266 | VexpVar 0.790 | adv_std 82.656 | elapsed 31.04s
iter 00074 | success 0.517 | policy_loss -0.00007 | value_loss 3305.73831 | Vmean -116.872 | Rmean -131.940 | Vrmse 81.332 | VexpVar 0.799 | adv_std 79.924 | elapsed 30.02s
iter 00075 | success 0.514 | policy_loss -0.00011 | value_loss 3358.67816 | Vmean -121.171 | Rmean -134.499 | Vrmse 81.983 | VexpVar 0.798 | adv_std 80.892 | elapsed 29.29s
iter 00076 | success 0.521 | policy_loss -0.00003 | value_loss 3269.38943 | Vmean -123.763 | Rmean -137.995 | Vrmse 80.505 | VexpVar 0.803 | adv_std 79.237 | elapsed 28.73s
iter 00077 | success 0.510 | policy_loss -0.00008 | value_loss 3319.63121 | Vmean -122.908 | Rmean -138.516 | Vrmse 81.334 | VexpVar 0.801 | adv_std 79.822 | elapsed 29.64s
iter 00078 | success 0.514 | policy_loss -0.00007 | value_loss 3288.12086 | Vmean -124.771 | Rmean -137.318 | Vrmse 81.024 | VexpVar 0.801 | adv_std 80.046 | elapsed 29.11s
iter 00079 | success 0.518 | policy_loss -0.00001 | value_loss 3246.69899 | Vmean -120.932 | Rmean -135.036 | Vrmse 80.511 | VexpVar 0.804 | adv_std 79.266 | elapsed 31.03s
iter 00080 | success 0.511 | policy_loss -0.00003 | value_loss 3223.69836 | Vmean -126.035 | Rmean -136.863 | Vrmse 80.227 | VexpVar 0.806 | adv_std 79.492 | elapsed 31.57s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_80.pt
iter 00081 | success 0.513 | policy_loss -0.00003 | value_loss 3196.91762 | Vmean -126.113 | Rmean -137.810 | Vrmse 79.965 | VexpVar 0.807 | adv_std 79.105 | elapsed 32.63s
iter 00082 | success 0.520 | policy_loss -0.00007 | value_loss 3064.34146 | Vmean -126.031 | Rmean -137.134 | Vrmse 78.265 | VexpVar 0.813 | adv_std 77.474 | elapsed 29.36s
iter 00083 | success 0.529 | policy_loss -0.00005 | value_loss 3098.62769 | Vmean -128.442 | Rmean -137.807 | Vrmse 78.660 | VexpVar 0.811 | adv_std 78.100 | elapsed 29.04s
iter 00084 | success 0.508 | policy_loss -0.00002 | value_loss 3266.65305 | Vmean -122.725 | Rmean -132.184 | Vrmse 80.770 | VexpVar 0.806 | adv_std 80.215 | elapsed 29.87s
iter 00085 | success 0.504 | policy_loss -0.00004 | value_loss 3131.65256 | Vmean -123.646 | Rmean -133.587 | Vrmse 79.123 | VexpVar 0.813 | adv_std 78.496 | elapsed 28.66s
iter 00086 | success 0.524 | policy_loss -0.00003 | value_loss 3080.95059 | Vmean -125.823 | Rmean -137.120 | Vrmse 78.416 | VexpVar 0.815 | adv_std 77.598 | elapsed 30.99s
iter 00087 | success 0.515 | policy_loss -0.00008 | value_loss 3074.03911 | Vmean -126.624 | Rmean -137.853 | Vrmse 78.332 | VexpVar 0.815 | adv_std 77.523 | elapsed 30.13s
iter 00088 | success 0.523 | policy_loss -0.00005 | value_loss 3092.91959 | Vmean -128.298 | Rmean -140.802 | Vrmse 78.609 | VexpVar 0.814 | adv_std 77.608 | elapsed 29.23s
iter 00089 | success 0.518 | policy_loss -0.00003 | value_loss 2986.66420 | Vmean -129.217 | Rmean -140.236 | Vrmse 77.126 | VexpVar 0.820 | adv_std 76.335 | elapsed 32.50s
iter 00090 | success 0.517 | policy_loss -0.00002 | value_loss 2997.34746 | Vmean -134.097 | Rmean -142.891 | Vrmse 77.192 | VexpVar 0.820 | adv_std 76.689 | elapsed 33.53s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_90.pt
iter 00091 | success 0.524 | policy_loss -0.00004 | value_loss 3001.34969 | Vmean -135.150 | Rmean -142.309 | Vrmse 77.445 | VexpVar 0.818 | adv_std 77.114 | elapsed 35.77s
iter 00092 | success 0.529 | policy_loss -0.00001 | value_loss 2871.12837 | Vmean -136.482 | Rmean -144.362 | Vrmse 75.598 | VexpVar 0.823 | adv_std 75.186 | elapsed 34.04s
iter 00093 | success 0.514 | policy_loss -0.00002 | value_loss 3007.69823 | Vmean -134.575 | Rmean -140.055 | Vrmse 77.461 | VexpVar 0.819 | adv_std 77.267 | elapsed 33.07s
iter 00094 | success 0.525 | policy_loss -0.00007 | value_loss 2873.26764 | Vmean -135.452 | Rmean -142.383 | Vrmse 75.683 | VexpVar 0.824 | adv_std 75.365 | elapsed 33.93s
iter 00095 | success 0.526 | policy_loss -0.00004 | value_loss 2892.37180 | Vmean -135.458 | Rmean -143.696 | Vrmse 76.011 | VexpVar 0.824 | adv_std 75.564 | elapsed 31.79s
iter 00096 | success 0.515 | policy_loss -0.00001 | value_loss 2898.72153 | Vmean -135.232 | Rmean -144.070 | Vrmse 76.034 | VexpVar 0.823 | adv_std 75.519 | elapsed 33.50s
iter 00097 | success 0.542 | policy_loss -0.00001 | value_loss 2824.43056 | Vmean -140.264 | Rmean -147.095 | Vrmse 74.994 | VexpVar 0.825 | adv_std 74.683 | elapsed 33.04s
iter 00098 | success 0.526 | policy_loss -0.00001 | value_loss 2864.18715 | Vmean -138.450 | Rmean -144.315 | Vrmse 75.626 | VexpVar 0.826 | adv_std 75.398 | elapsed 32.60s
iter 00099 | success 0.534 | policy_loss -0.00004 | value_loss 2844.15913 | Vmean -137.308 | Rmean -144.232 | Vrmse 75.323 | VexpVar 0.826 | adv_std 75.004 | elapsed 33.52s
iter 00100 | success 0.528 | policy_loss -0.00003 | value_loss 2821.08650 | Vmean -139.032 | Rmean -145.273 | Vrmse 75.013 | VexpVar 0.828 | adv_std 74.753 | elapsed 34.02s
  saved checkpoint: logs/high_level_go2/20251125-074525/model_100.pt
iter 00101 | success 0.513 | policy_loss -0.00001 | value_loss 2893.61343 | Vmean -136.708 | Rmean -142.553 | Vrmse 75.988 | VexpVar 0.826 | adv_std 75.763 | elapsed 36.78s
iter 00102 | success 0.527 | policy_loss -0.00002 | value_loss 2751.27390 | Vmean -138.748 | Rmean -143.543 | Vrmse 73.855 | VexpVar 0.832 | adv_std 73.699 | elapsed 33.18s
iter 00103 | success 0.523 | policy_loss -0.00002 | value_loss 2815.31340 | Vmean -140.343 | Rmean -144.282 | Vrmse 74.729 | VexpVar 0.829 | adv_std 74.625 | elapsed 32.79s
iter 00104 | success 0.517 | policy_loss -0.00001 | value_loss 2784.78931 | Vmean -138.236 | Rmean -142.720 | Vrmse 74.461 | VexpVar 0.831 | adv_std 74.325 | elapsed 33.07s
iter 00105 | success 0.512 | policy_loss -0.00004 | value_loss 2807.34476 | Vmean -140.083 | Rmean -143.358 | Vrmse 74.676 | VexpVar 0.830 | adv_std 74.605 | elapsed 32.48s
iter 00106 | success 0.521 | policy_loss -0.00004 | value_loss 2757.81313 | Vmean -140.756 | Rmean -143.160 | Vrmse 74.007 | VexpVar 0.832 | adv_std 73.967 | elapsed 32.55s
iter 00107 | success 0.528 | policy_loss -0.00002 | value_loss 2763.64598 | Vmean -146.343 | Rmean -148.919 | Vrmse 74.236 | VexpVar 0.830 | adv_std 74.192 | elapsed 32.86s
iter 00108 | success 0.527 | policy_loss 0.00000 | value_loss 2812.09830 | Vmean -145.905 | Rmean -147.715 | Vrmse 74.764 | VexpVar 0.827 | adv_std 74.742 | elapsed 35.72s
