nohup: ignoring input
Importing module 'gym_38' (/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/gym_38.so)
Setting GYM_USD_PLUG_INFO_PATH to /home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/linux-x86_64/usd/plugInfo.json
PyTorch version 2.3.1
Device count 3
/home/wutr/IsaacGym/isaacgym/python/isaacgym/_bindings/src/gymtorch
Using /home/wutr/.cache/torch_extensions/py38_cu121 as PyTorch extensions root...
Emitting ninja build file /home/wutr/.cache/torch_extensions/py38_cu121/gymtorch/build.ninja...
Building extension module gymtorch...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module gymtorch...
Setting seed: 1
Not connected to PVD
+++ Using GPU PhysX
Physics Engine: PhysX
Physics Device: cuda:1
GPU Pipeline: enabled
Actor MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=12, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=45, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=256, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=256, out_features=128, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=128, out_features=1, bias=True)
)
Loading low-level policy checkpoint: /home/wutr/IsaacGym/legged_gym_go2/logs/rough_go2/Sep08_11-57-26_/model_18500.pt
Actor MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=3, bias=True)
)
Critic MLP: Sequential(
  (0): Linear(in_features=24, out_features=512, bias=True)
  (1): ELU(alpha=1.0)
  (2): Linear(in_features=512, out_features=512, bias=True)
  (3): ELU(alpha=1.0)
  (4): Linear(in_features=512, out_features=512, bias=True)
  (5): ELU(alpha=1.0)
  (6): Linear(in_features=512, out_features=512, bias=True)
  (7): ELU(alpha=1.0)
  (8): Linear(in_features=512, out_features=1, bias=True)
)
Reach-Avoid training
  envs       : 4096
  obs dim    : 24
  action dim : 3
  horizon    : 200
  device     : cuda:1
  log dir    : logs/high_level_go2/20251125-121250
iter 00001 | success 0.015 | policy_loss 0.00191 | value_loss 8997.17706 | Vmean 0.001 | Rmean 60.267 | Vrmse 134.226 | VexpVar 0.000 | adv_std 119.935 | elapsed 33.88s
iter 00016 | success 0.115 | policy_loss -0.00007 | value_loss 6506.55585 | Vmean 7.267 | Rmean 20.645 | Vrmse 114.122 | VexpVar 0.060 | adv_std 113.335 | elapsed 28.57s
iter 00017 | success 0.126 | policy_loss -0.00008 | value_loss 6674.24677 | Vmean 7.365 | Rmean 19.355 | Vrmse 115.595 | VexpVar 0.067 | adv_std 114.971 | elapsed 29.96s
iter 00018 | success 0.147 | policy_loss 0.00000 | value_loss 7365.05817 | Vmean 6.596 | Rmean 15.250 | Vrmse 121.413 | VexpVar 0.081 | adv_std 121.104 | elapsed 31.81s
iter 00019 | success 0.157 | policy_loss 0.00000 | value_loss 7300.88562 | Vmean 5.501 | Rmean 12.915 | Vrmse 120.878 | VexpVar 0.104 | adv_std 120.650 | elapsed 29.86s
iter 00020 | success 0.171 | policy_loss -0.00011 | value_loss 7360.20645 | Vmean 5.509 | Rmean 9.738 | Vrmse 121.393 | VexpVar 0.120 | adv_std 121.319 | elapsed 31.27s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_20.pt
iter 00021 | success 0.189 | policy_loss -0.00006 | value_loss 7455.80548 | Vmean 4.982 | Rmean 4.571 | Vrmse 122.160 | VexpVar 0.137 | adv_std 122.159 | elapsed 32.67s
iter 00022 | success 0.192 | policy_loss -0.00007 | value_loss 7491.84644 | Vmean 4.958 | Rmean 3.172 | Vrmse 122.471 | VexpVar 0.155 | adv_std 122.458 | elapsed 31.36s
iter 00023 | success 0.205 | policy_loss -0.00011 | value_loss 7632.71411 | Vmean 4.835 | Rmean -0.064 | Vrmse 123.595 | VexpVar 0.171 | adv_std 123.498 | elapsed 31.05s
iter 00024 | success 0.234 | policy_loss -0.00012 | value_loss 7685.56628 | Vmean 2.824 | Rmean -6.018 | Vrmse 124.035 | VexpVar 0.204 | adv_std 123.720 | elapsed 29.02s
iter 00025 | success 0.265 | policy_loss -0.00005 | value_loss 7876.90469 | Vmean 0.378 | Rmean -13.437 | Vrmse 125.526 | VexpVar 0.234 | adv_std 124.764 | elapsed 31.15s
iter 00026 | success 0.270 | policy_loss -0.00014 | value_loss 7663.32178 | Vmean -1.798 | Rmean -16.899 | Vrmse 123.861 | VexpVar 0.277 | adv_std 122.937 | elapsed 31.50s
iter 00027 | success 0.278 | policy_loss -0.00005 | value_loss 7577.00482 | Vmean -2.339 | Rmean -20.548 | Vrmse 123.139 | VexpVar 0.301 | adv_std 121.786 | elapsed 30.93s
iter 00028 | success 0.295 | policy_loss -0.00016 | value_loss 7558.79333 | Vmean -7.156 | Rmean -26.753 | Vrmse 122.628 | VexpVar 0.348 | adv_std 121.052 | elapsed 29.94s
iter 00029 | success 0.312 | policy_loss -0.00002 | value_loss 7203.84308 | Vmean -12.557 | Rmean -35.943 | Vrmse 120.045 | VexpVar 0.412 | adv_std 117.745 | elapsed 32.22s
iter 00030 | success 0.320 | policy_loss -0.00013 | value_loss 6942.01825 | Vmean -13.570 | Rmean -34.370 | Vrmse 117.830 | VexpVar 0.435 | adv_std 115.980 | elapsed 33.66s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_30.pt
iter 00031 | success 0.341 | policy_loss -0.00005 | value_loss 6877.65741 | Vmean -19.139 | Rmean -42.221 | Vrmse 117.280 | VexpVar 0.479 | adv_std 114.987 | elapsed 35.62s
iter 00032 | success 0.342 | policy_loss -0.00016 | value_loss 6454.53168 | Vmean -23.044 | Rmean -46.664 | Vrmse 113.591 | VexpVar 0.523 | adv_std 111.108 | elapsed 33.94s
iter 00033 | success 0.360 | policy_loss -0.00006 | value_loss 6312.67331 | Vmean -24.809 | Rmean -48.207 | Vrmse 112.354 | VexpVar 0.546 | adv_std 109.891 | elapsed 33.63s
iter 00034 | success 0.376 | policy_loss -0.00013 | value_loss 5906.49872 | Vmean -31.405 | Rmean -56.019 | Vrmse 107.982 | VexpVar 0.591 | adv_std 105.139 | elapsed 33.72s
iter 00035 | success 0.391 | policy_loss -0.00012 | value_loss 5471.45776 | Vmean -36.893 | Rmean -60.724 | Vrmse 104.600 | VexpVar 0.630 | adv_std 101.849 | elapsed 33.91s
iter 00036 | success 0.420 | policy_loss -0.00010 | value_loss 5263.19992 | Vmean -43.122 | Rmean -70.170 | Vrmse 102.492 | VexpVar 0.657 | adv_std 98.859 | elapsed 34.02s
iter 00037 | success 0.413 | policy_loss -0.00008 | value_loss 5007.53467 | Vmean -48.585 | Rmean -73.462 | Vrmse 99.045 | VexpVar 0.686 | adv_std 95.870 | elapsed 33.32s
iter 00038 | success 0.415 | policy_loss -0.00008 | value_loss 4829.31235 | Vmean -52.976 | Rmean -77.217 | Vrmse 97.726 | VexpVar 0.703 | adv_std 94.672 | elapsed 32.46s
iter 00039 | success 0.422 | policy_loss -0.00010 | value_loss 4708.80508 | Vmean -56.974 | Rmean -80.433 | Vrmse 96.868 | VexpVar 0.716 | adv_std 93.985 | elapsed 33.70s
iter 00040 | success 0.453 | policy_loss -0.00014 | value_loss 4484.10025 | Vmean -63.427 | Rmean -87.083 | Vrmse 93.955 | VexpVar 0.734 | adv_std 90.928 | elapsed 33.69s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_40.pt
iter 00041 | success 0.458 | policy_loss -0.00013 | value_loss 4269.55841 | Vmean -69.968 | Rmean -93.859 | Vrmse 92.307 | VexpVar 0.749 | adv_std 89.162 | elapsed 35.23s
iter 00042 | success 0.460 | policy_loss -0.00014 | value_loss 4039.55850 | Vmean -78.539 | Rmean -99.611 | Vrmse 89.323 | VexpVar 0.763 | adv_std 86.802 | elapsed 33.81s
iter 00043 | success 0.479 | policy_loss -0.00010 | value_loss 3627.18761 | Vmean -84.006 | Rmean -104.062 | Vrmse 84.859 | VexpVar 0.784 | adv_std 82.455 | elapsed 33.81s
iter 00044 | success 0.479 | policy_loss -0.00006 | value_loss 3561.01193 | Vmean -95.298 | Rmean -111.101 | Vrmse 83.326 | VexpVar 0.791 | adv_std 81.814 | elapsed 33.20s
iter 00045 | success 0.484 | policy_loss -0.00005 | value_loss 3278.70131 | Vmean -108.776 | Rmean -116.691 | Vrmse 79.948 | VexpVar 0.805 | adv_std 79.556 | elapsed 33.19s
iter 00046 | success 0.483 | policy_loss -0.00012 | value_loss 3243.38829 | Vmean -112.061 | Rmean -118.529 | Vrmse 80.142 | VexpVar 0.805 | adv_std 79.880 | elapsed 33.44s
iter 00047 | success 0.476 | policy_loss -0.00004 | value_loss 3156.99892 | Vmean -110.532 | Rmean -117.911 | Vrmse 79.170 | VexpVar 0.810 | adv_std 78.826 | elapsed 33.31s
iter 00048 | success 0.502 | policy_loss -0.00003 | value_loss 3132.41628 | Vmean -117.862 | Rmean -122.912 | Vrmse 77.774 | VexpVar 0.815 | adv_std 77.610 | elapsed 33.84s
iter 00049 | success 0.483 | policy_loss -0.00005 | value_loss 3130.97804 | Vmean -121.474 | Rmean -122.254 | Vrmse 77.920 | VexpVar 0.817 | adv_std 77.916 | elapsed 33.11s
iter 00050 | success 0.507 | policy_loss -0.00003 | value_loss 3063.40610 | Vmean -124.751 | Rmean -129.355 | Vrmse 76.826 | VexpVar 0.820 | adv_std 76.688 | elapsed 33.48s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_50.pt
iter 00051 | success 0.494 | policy_loss -0.00003 | value_loss 3135.79077 | Vmean -117.769 | Rmean -123.123 | Vrmse 78.004 | VexpVar 0.818 | adv_std 77.820 | elapsed 32.12s
iter 00052 | success 0.497 | policy_loss -0.00001 | value_loss 3054.45393 | Vmean -117.622 | Rmean -124.525 | Vrmse 76.927 | VexpVar 0.822 | adv_std 76.617 | elapsed 32.45s
iter 00053 | success 0.498 | policy_loss -0.00002 | value_loss 3050.50996 | Vmean -118.324 | Rmean -125.118 | Vrmse 76.880 | VexpVar 0.823 | adv_std 76.579 | elapsed 31.56s
iter 00054 | success 0.512 | policy_loss -0.00004 | value_loss 3032.06120 | Vmean -120.390 | Rmean -128.063 | Vrmse 76.632 | VexpVar 0.825 | adv_std 76.247 | elapsed 30.78s
iter 00055 | success 0.485 | policy_loss -0.00001 | value_loss 3113.19814 | Vmean -117.419 | Rmean -124.751 | Vrmse 77.673 | VexpVar 0.823 | adv_std 77.326 | elapsed 31.70s
iter 00056 | success 0.497 | policy_loss -0.00002 | value_loss 2993.00343 | Vmean -117.926 | Rmean -125.909 | Vrmse 76.121 | VexpVar 0.829 | adv_std 75.701 | elapsed 34.02s
iter 00057 | success 0.504 | policy_loss -0.00001 | value_loss 2967.99947 | Vmean -115.655 | Rmean -124.562 | Vrmse 75.820 | VexpVar 0.831 | adv_std 75.295 | elapsed 31.77s
iter 00058 | success 0.492 | policy_loss -0.00003 | value_loss 3049.02068 | Vmean -117.922 | Rmean -126.523 | Vrmse 76.860 | VexpVar 0.829 | adv_std 76.377 | elapsed 33.39s
iter 00059 | success 0.491 | policy_loss -0.00002 | value_loss 2957.20860 | Vmean -113.175 | Rmean -122.259 | Vrmse 75.670 | VexpVar 0.834 | adv_std 75.123 | elapsed 33.26s
iter 00060 | success 0.503 | policy_loss -0.00006 | value_loss 2908.26489 | Vmean -116.457 | Rmean -126.525 | Vrmse 75.030 | VexpVar 0.836 | adv_std 74.351 | elapsed 33.37s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_60.pt
iter 00061 | success 0.489 | policy_loss -0.00001 | value_loss 2950.78615 | Vmean -116.607 | Rmean -126.141 | Vrmse 75.575 | VexpVar 0.836 | adv_std 74.971 | elapsed 32.82s
iter 00062 | success 0.505 | policy_loss -0.00002 | value_loss 2874.63481 | Vmean -119.840 | Rmean -130.133 | Vrmse 74.535 | VexpVar 0.840 | adv_std 73.821 | elapsed 31.45s
iter 00063 | success 0.495 | policy_loss -0.00002 | value_loss 2874.24709 | Vmean -118.048 | Rmean -128.772 | Vrmse 74.526 | VexpVar 0.841 | adv_std 73.750 | elapsed 31.03s
iter 00064 | success 0.506 | policy_loss -0.00002 | value_loss 2884.72507 | Vmean -117.164 | Rmean -128.140 | Vrmse 74.667 | VexpVar 0.841 | adv_std 73.856 | elapsed 31.27s
iter 00065 | success 0.508 | policy_loss -0.00004 | value_loss 2796.78430 | Vmean -117.692 | Rmean -129.163 | Vrmse 73.490 | VexpVar 0.846 | adv_std 72.590 | elapsed 32.64s
iter 00066 | success 0.508 | policy_loss -0.00006 | value_loss 2857.50514 | Vmean -117.632 | Rmean -129.499 | Vrmse 74.303 | VexpVar 0.844 | adv_std 73.349 | elapsed 30.94s
iter 00067 | success 0.501 | policy_loss -0.00003 | value_loss 2841.58276 | Vmean -117.720 | Rmean -129.466 | Vrmse 74.062 | VexpVar 0.845 | adv_std 73.125 | elapsed 30.33s
iter 00068 | success 0.509 | policy_loss -0.00004 | value_loss 2882.19241 | Vmean -119.636 | Rmean -130.739 | Vrmse 74.578 | VexpVar 0.844 | adv_std 73.746 | elapsed 29.59s
iter 00069 | success 0.504 | policy_loss -0.00002 | value_loss 2831.43811 | Vmean -118.622 | Rmean -130.478 | Vrmse 73.894 | VexpVar 0.847 | adv_std 72.936 | elapsed 30.51s
iter 00070 | success 0.511 | policy_loss -0.00003 | value_loss 2869.54567 | Vmean -121.244 | Rmean -133.397 | Vrmse 74.406 | VexpVar 0.845 | adv_std 73.407 | elapsed 30.88s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_70.pt
iter 00071 | success 0.516 | policy_loss -0.00003 | value_loss 2797.47295 | Vmean -120.298 | Rmean -133.935 | Vrmse 73.453 | VexpVar 0.849 | adv_std 72.176 | elapsed 31.11s
iter 00072 | success 0.515 | policy_loss -0.00003 | value_loss 2744.17784 | Vmean -116.782 | Rmean -130.708 | Vrmse 72.755 | VexpVar 0.852 | adv_std 71.410 | elapsed 30.80s
iter 00073 | success 0.512 | policy_loss -0.00002 | value_loss 2768.01277 | Vmean -122.185 | Rmean -135.897 | Vrmse 73.061 | VexpVar 0.850 | adv_std 71.763 | elapsed 29.22s
iter 00074 | success 0.510 | policy_loss -0.00003 | value_loss 2841.12196 | Vmean -122.312 | Rmean -135.893 | Vrmse 74.037 | VexpVar 0.848 | adv_std 72.780 | elapsed 33.22s
iter 00075 | success 0.523 | policy_loss -0.00004 | value_loss 2686.38832 | Vmean -122.584 | Rmean -137.181 | Vrmse 71.927 | VexpVar 0.855 | adv_std 70.430 | elapsed 32.51s
iter 00076 | success 0.517 | policy_loss -0.00004 | value_loss 2730.30569 | Vmean -120.774 | Rmean -135.026 | Vrmse 72.548 | VexpVar 0.854 | adv_std 71.135 | elapsed 33.54s
iter 00077 | success 0.505 | policy_loss -0.00002 | value_loss 2785.28899 | Vmean -121.536 | Rmean -136.076 | Vrmse 73.327 | VexpVar 0.851 | adv_std 71.871 | elapsed 28.59s
iter 00078 | success 0.513 | policy_loss -0.00007 | value_loss 2738.39047 | Vmean -121.015 | Rmean -135.488 | Vrmse 72.691 | VexpVar 0.854 | adv_std 71.235 | elapsed 28.52s
iter 00079 | success 0.501 | policy_loss -0.00003 | value_loss 2758.23552 | Vmean -117.944 | Rmean -132.110 | Vrmse 72.971 | VexpVar 0.853 | adv_std 71.583 | elapsed 30.21s
iter 00080 | success 0.514 | policy_loss -0.00004 | value_loss 2712.17812 | Vmean -122.545 | Rmean -137.009 | Vrmse 72.310 | VexpVar 0.854 | adv_std 70.849 | elapsed 28.20s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_80.pt
iter 00081 | success 0.515 | policy_loss -0.00002 | value_loss 2711.17709 | Vmean -124.212 | Rmean -138.684 | Vrmse 72.303 | VexpVar 0.854 | adv_std 70.840 | elapsed 32.07s
iter 00082 | success 0.514 | policy_loss -0.00002 | value_loss 2793.20050 | Vmean -125.182 | Rmean -139.624 | Vrmse 73.434 | VexpVar 0.851 | adv_std 71.999 | elapsed 30.91s
iter 00083 | success 0.526 | policy_loss -0.00003 | value_loss 2690.60852 | Vmean -125.562 | Rmean -140.860 | Vrmse 72.027 | VexpVar 0.855 | adv_std 70.383 | elapsed 29.63s
iter 00084 | success 0.503 | policy_loss -0.00002 | value_loss 2752.84875 | Vmean -124.807 | Rmean -139.206 | Vrmse 72.881 | VexpVar 0.853 | adv_std 71.445 | elapsed 31.73s
iter 00085 | success 0.523 | policy_loss -0.00005 | value_loss 2682.36935 | Vmean -128.422 | Rmean -143.332 | Vrmse 71.902 | VexpVar 0.855 | adv_std 70.340 | elapsed 33.84s
iter 00086 | success 0.515 | policy_loss -0.00001 | value_loss 2820.72855 | Vmean -124.217 | Rmean -138.938 | Vrmse 73.799 | VexpVar 0.850 | adv_std 72.315 | elapsed 32.87s
iter 00087 | success 0.529 | policy_loss -0.00001 | value_loss 2746.33728 | Vmean -127.049 | Rmean -142.958 | Vrmse 72.792 | VexpVar 0.852 | adv_std 71.032 | elapsed 31.93s
iter 00088 | success 0.536 | policy_loss -0.00004 | value_loss 2716.25212 | Vmean -128.991 | Rmean -145.076 | Vrmse 72.376 | VexpVar 0.853 | adv_std 70.566 | elapsed 32.61s
iter 00089 | success 0.507 | policy_loss -0.00007 | value_loss 2724.89432 | Vmean -126.519 | Rmean -141.830 | Vrmse 72.512 | VexpVar 0.853 | adv_std 70.877 | elapsed 30.02s
iter 00090 | success 0.522 | policy_loss -0.00004 | value_loss 2657.47858 | Vmean -129.276 | Rmean -144.032 | Vrmse 71.567 | VexpVar 0.855 | adv_std 70.029 | elapsed 30.40s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_90.pt
iter 00091 | success 0.523 | policy_loss -0.00003 | value_loss 2637.07068 | Vmean -127.163 | Rmean -142.914 | Vrmse 71.317 | VexpVar 0.856 | adv_std 69.556 | elapsed 31.80s
iter 00092 | success 0.509 | policy_loss -0.00004 | value_loss 2699.21262 | Vmean -124.965 | Rmean -140.535 | Vrmse 72.176 | VexpVar 0.854 | adv_std 70.476 | elapsed 28.20s
iter 00093 | success 0.520 | policy_loss -0.00002 | value_loss 2627.17995 | Vmean -125.395 | Rmean -141.422 | Vrmse 71.204 | VexpVar 0.857 | adv_std 69.377 | elapsed 31.05s
iter 00094 | success 0.526 | policy_loss -0.00003 | value_loss 2691.33664 | Vmean -126.465 | Rmean -142.088 | Vrmse 72.081 | VexpVar 0.853 | adv_std 70.368 | elapsed 28.71s
iter 00095 | success 0.515 | policy_loss -0.00003 | value_loss 2736.91953 | Vmean -125.789 | Rmean -141.446 | Vrmse 72.719 | VexpVar 0.851 | adv_std 71.013 | elapsed 32.76s
iter 00096 | success 0.514 | policy_loss -0.00003 | value_loss 2681.68178 | Vmean -128.469 | Rmean -143.221 | Vrmse 71.985 | VexpVar 0.853 | adv_std 70.457 | elapsed 32.99s
iter 00097 | success 0.523 | policy_loss -0.00001 | value_loss 2701.09529 | Vmean -129.281 | Rmean -144.113 | Vrmse 72.243 | VexpVar 0.852 | adv_std 70.704 | elapsed 32.43s
iter 00098 | success 0.516 | policy_loss -0.00004 | value_loss 2638.57500 | Vmean -127.928 | Rmean -143.108 | Vrmse 71.401 | VexpVar 0.854 | adv_std 69.769 | elapsed 29.41s
iter 00099 | success 0.527 | policy_loss -0.00004 | value_loss 2640.37134 | Vmean -126.492 | Rmean -142.153 | Vrmse 71.469 | VexpVar 0.854 | adv_std 69.732 | elapsed 32.55s
iter 00100 | success 0.516 | policy_loss -0.00004 | value_loss 2680.98877 | Vmean -128.381 | Rmean -143.817 | Vrmse 72.023 | VexpVar 0.851 | adv_std 70.349 | elapsed 31.39s
  saved checkpoint: logs/high_level_go2/20251125-121250/model_100.pt
iter 00101 | success 0.503 | policy_loss -0.00001 | value_loss 2690.12608 | Vmean -126.713 | Rmean -141.800 | Vrmse 72.169 | VexpVar 0.851 | adv_std 70.574 | elapsed 35.04s
iter 00102 | success 0.518 | policy_loss -0.00003 | value_loss 2693.62691 | Vmean -130.111 | Rmean -145.233 | Vrmse 72.188 | VexpVar 0.850 | adv_std 70.586 | elapsed 34.03s
iter 00103 | success 0.521 | policy_loss -0.00004 | value_loss 2639.07013 | Vmean -128.526 | Rmean -143.642 | Vrmse 71.442 | VexpVar 0.853 | adv_std 69.824 | elapsed 34.39s
iter 00104 | success 0.523 | policy_loss -0.00008 | value_loss 2673.57983 | Vmean -127.851 | Rmean -143.633 | Vrmse 71.983 | VexpVar 0.852 | adv_std 70.231 | elapsed 34.34s
iter 00105 | success 0.533 | policy_loss -0.00006 | value_loss 2593.63866 | Vmean -129.055 | Rmean -144.865 | Vrmse 70.887 | VexpVar 0.855 | adv_std 69.102 | elapsed 30.11s
iter 00106 | success 0.517 | policy_loss -0.00003 | value_loss 2619.06760 | Vmean -125.968 | Rmean -142.472 | Vrmse 71.262 | VexpVar 0.856 | adv_std 69.325 | elapsed 33.66s
iter 00107 | success 0.534 | policy_loss -0.00004 | value_loss 2564.57828 | Vmean -131.821 | Rmean -148.125 | Vrmse 70.425 | VexpVar 0.857 | adv_std 68.511 | elapsed 34.40s
iter 00108 | success 0.512 | policy_loss -0.00007 | value_loss 2607.01486 | Vmean -126.926 | Rmean -143.237 | Vrmse 71.029 | VexpVar 0.858 | adv_std 69.131 | elapsed 32.90s
